緯度,經度,補習班名稱,電話,核准科目名稱,補習班住址,立案文號,立案日期,備註
24.80579110 ,120.96220350 ,新竹市私立蕎立小學堂文理短期補習班,,美語數學自然,新竹市北大路319、319-1號2-3樓,府教社字第1060134979號,9/14/2017,
24.78405210 ,121.02033800 ,新竹市私立迦南文理短期補習班,,國語其他其他,新竹市光復路一段531巷80-1號1樓,府教社字第1060094304號,7/10/2017,
24.79574310 ,120.94893690 ,新竹市私立青庭美語短期補習班,0922979736,英語,新竹市中華路四段226巷12號2樓及3樓,府教社字第1060083425號,6/6/2017,
24.81769310 ,120.97367000 ,新竹市私立華新文理短期補習班,(03)5335001,英文數學理化,新竹市光華北街29號1樓至3樓,府教社字第1060058289號,4/21/2017,
24.79449570 ,120.97753420 ,新竹市私立華盛頓短期補習班學府分校,(03)5753939,英語英語,新竹市學府路31號,府教社字第1060051959號,3/29/2017,
24.80674820 ,120.97643970 ,新竹市私立哲元文理短期補習班,(03)534-0494,數學英文國文,新竹市民權路56巷2號1樓,府教社字第1060022228號,3/3/2017,
24.79896800 ,120.96275200 ,新竹市私立向日葵向陽文理短期補習班,(03)5222091,英文數學其他,新竹市四維路50號3樓,府教社字第1060033444號,2/20/2017,
24.80377200 ,120.96639300 ,新竹市私立冠偉文理短期補習班,0952106220,數學其他,新竹市中央路162巷1號二樓之2、之5號,府教社字第1060012515號,1/4/2017,
24.80507520 ,120.94075880 ,新竹市私立勝成文理短期補習班,(03)5308234,數學美語英文數學其他其他,新竹市延平路二段95之4號1樓至3樓,府教社字第1060020718號,1/18/2017,
24.81231080 ,120.98383670 ,新竹市私立魏老師文理短期補習班,(03)5334063,數學理化數學,新竹市鐵道路一段60號1樓,府教社字第1060027557號,2/7/2017,
24.79521840 ,120.94149160 ,新竹市私立艾學爾文理短期補習班牛埔分班,(03)5400850,美語美語,新竹市香山區牛埔東路321號1樓至2樓,府教社字第1060013976號,1/5/2017,
24.80438700 ,120.97256900 ,三民教育有限公司附設新竹市私立三民文理技藝短期補習班,(03)5226099,會計其他其他其他,新竹市東門街62號7樓,府教社字第1050191588號,1/4/2017,
24.78129340 ,121.02316710 ,新竹市私立唯學館教育中心文理短期補習班,(網路電話)070-1000-3496,數學理化,新竹市光復路一段485巷6弄31號1樓至2樓,府教社字第1050168615號,9/22/2016,
24.81301090 ,120.98069730 ,學習王科技股份有限公司附設新竹市私立楷模書院文理短期補習班,(03)5352589,其他英文數學其他其他,新竹市東區自由路67號1樓,府教社字第1050166109號,11/14/2016,
24.80122500 ,120.98568000 ,新竹市私立佳杏文理短期補習班,-3,美語數學國語其他英文,新竹市東區光復路二段387號1樓、夾層至2樓,府教社字第1050130586號,8/26/2016,
24.78802000 ,121.02040140 ,新竹市私立科拓文理短期補習班,(03)5678696,美語美語數學數學英文數學,新竹市關新路233號1樓至2樓,府教社字第1050130561號,8/25/2016,
24.79615520 ,120.98012500 ,新竹市私立君明文理短期補習班,(03)5751305,數學其他其他英文數學理化歷史其他英文數學物理國語其他,新竹市東山街30號1樓,府教社字第1050126174號,8/16/2016,
24.78129340 ,121.02316710 ,新竹市私立紐約王美語文理短期補習班,(03)6667555,美語數學,新竹市東區光復路一段593號1樓至3樓,,5/19/2016,
24.80694250 ,120.95725650 ,新竹市私立民富文理技藝短期補習班,(03)5212160,美語電腦,新竹市少年街87號2樓,府教社字第1050090196號,6/14/2016,
24.80643400 ,120.95500830 ,新竹市私立名師文理短期補習班,(03)5212777,英文數學理化,新竹市經國路二段438巷11號1樓及13號1樓,府教社字第1050093308號,6/14/2016,
24.81149920 ,120.97059010 ,新竹市私立南瓜田美語經國分部文理短期補習班,(03)5327751,美語美語美語美語美語美語數學數學其他其他理化國文,新竹市經國路一段479巷1弄2號3樓至4樓,府教社字第10500776507號,5/17/2016,
24.80816720 ,120.97419910 ,新竹市私立孟德爾頌兒童樂團技藝短期補習班,(03)5352253,音樂美術,新竹市三民路2巷11號2樓至3樓,府教社字第1050097505號,6/21/2016,
24.80153090 ,120.99654620 ,新竹市私立永曜文理短期補習班,(03)5730677,數學美語其他美語,新竹市建功一路170號1-4樓,府教社字第1050064379號,4/14/2016,
24.79484160 ,120.97845220 ,新竹市私立鼎上文教文理短期補習班,(03)5750985,數學英文其他,新竹市學府路85號1樓至4樓,府教社字第1050062027號,4/25/2016,
24.79622520 ,120.98293900 ,新竹市私立奧林匹亞文理短期補習班,(03)5262307,其他數學其他數學,新竹市學府路66號2樓,府教社字第1050103688號,7/4/2016,
24.78770740 ,121.01748210 ,新竹市私立閎儒文理短期補習班,0932-374037,數學作文,新竹市新莊街258號1樓至2樓,府教社字第1050146131號,10/3/2016,
24.80140450 ,120.99679950 ,新竹市私立品昇文理短期補習班,(03)5723338,作文其他其他理化其他物理,新竹市建功一路158號1-2樓,府教社字第1050047244號,1/21/2016,
24.79703310 ,120.96655100 ,新竹市私立大英文理短期補習班,0958-489171,美語數學理化美語數學,新竹市興學街87號1至3樓,府教社字第1050038255號,3/7/2016,
24.81306590 ,120.98060800 ,新竹市私立想想教室文理短期補習班,(03)5322961,數學,新竹市自由路69號3樓之2,府教社字第1050038708號,12/23/2015,
24.80809960 ,120.96151580 ,新竹市私立民富芝&#34100;街美語文理短期補習班,(03)5246477/5246308,美語美語國語數學,新竹市民富街149號1-4樓,府教社字第1050017950號,1/13/2016,
24.79533350 ,120.97987430 ,新竹市私立鳴典文理短期補習班,(03)5722377,英語數學其他,新竹市學府路147號1、2樓,府教社字第1040168356號,11/9/2015,
24.80947610 ,120.97464590 ,新竹市私立旭&#23791;文理短期補習班,(03)5333175,英語數學其他,新竹市民權路252號1至4樓,府教社字第1040168350號,11/9/2015,
24.77887550 ,121.02089110 ,弋果文化事業股份有限公司附設新竹市私立弋果美語短期補習班科園分班,(03)5630136,英語,新竹市東區金山街2號3樓,府教社字第1040177730號,11/27/2015,
24.81694470 ,120.97418660 ,新竹市私立聯合文理短期補習班光華分班,(03)5355051,數學生物英語,新竹市光華二街7號1-2樓,府教社字第1040171777號,11/17/2015,
24.81697860 ,120.97152660 ,新竹市私立金剛熊文理短期補習班,(03)5383946,英語,新竹市光華北街85之2號,府教社字第1040168373號,11/9/2015,
24.80362480 ,120.97211550 ,新竹市私立名城美容美髮短期補習班,(03)5250325,美容美髮,新竹市民族路22號4樓,府教社字第1040142938號,9/21/2015,
24.80862240 ,120.97860340 ,新竹市私立耕福田文理短期補習班,(03)5356765,英語數學,新竹市民族路156之1號2樓至4樓,府教社字第1040142597號,9/21/2015,
24.79823820 ,120.96176010 ,新竹市私立親安文理技藝短期補習班,(03)5260009,英語作文數學美術音樂瑜珈,新竹市四維路21巷28號3樓至4樓,府教社字第1040129470號,9/2/2015,
24.78603660 ,121.01872330 ,新竹市私立優雅而行技藝短期補習班,(03)6663583,音樂美術,新竹市關新路195號1樓至2樓,府教社字第1040126508號,8/19/2015,
24.79109700 ,121.00912900 ,新竹市私立蘋果籽語文短期補習班,(03)6669525,英語,新竹市龍山西路169號1樓至3樓,府教社字第1040099130號,8/20/2015,
24.81442400 ,120.96732400 ,新竹市私立維廉美語文理技藝短期補習班,(03)5328186,,新竹市東大路二段107號1樓至4樓,府教社字第1040066685號,4/23/2015,
24.79219270 ,121.00912440 ,新竹市私立嘉德琳關埔美語短期補習班,(03)5790918,美語,新竹市埔頂里埔頂三路146號1樓,府教社字第1040099130號,6/30/2015,
