緯度,經度,補習班名稱,電話
24.8123912, 121.0307527,愛思可樂教育事業股份有限公司附設新竹縣私立樂研文理短期補習班,(03)5500105　
24.8150082, 121.02083119999998,丞瑞實業有限公司附設新竹縣私立丞瑞身心適能技藝短期補習班,(03)6214168　
24.8278985, 121.02922209999997,新竹縣私立芯學淵文理短期補習班,(03)6578307　
24.8223434, 121.01530509999998,新竹縣私立英王文理短期補習班,(03)5528490　
24.8249502, 121.03262330000007,新竹縣私立奇玉美語文理短期補習班,0932134670　
24.9030749, 121.04550189999998,新竹縣私立瑪奇朵短期補習班,0955833762;03-5901200　
24.8168085, 121.01769939999997,新竹縣私立楊格教育文理短期補習班,(03)6587931　
24.8191149, 121.02189569999996,部落森數位文創有限公司附設新竹縣私立部落森文理短期補習班,(03)6585899　
24.8338999, 121.01884330000007,皇家棋藝有限公司附設新竹縣私立皇家西洋棋技藝短期補習班,0915106987　
24.8340113, 121.01258050000001,新竹縣私立御賢文理短期補習班,0978832167　
24.8233008, 121.02913250000006,新竹縣私立佳美才藝短期補習班,(03)6577260　
24.7374486, 121.08717090000005,新竹縣私立向上文理短期補習班,(03)5111000　
24.8063394, 121.03591900000004,新竹縣私立藍天音樂藝術短期補習班,0936368660　
24.8103046, 121.03154410000002,愛思可樂教育事業股份有限公司附設新竹縣私立樂研數理實作教育文理短期補習班,(03)5500145　
24.807032, 121.02693539999996,新竹縣私立余老師文理短期補習班,0987782635　
24.8682276, 121.02890920000004,新竹縣私立臥虎藏龍文理短期補習班,(03)5577058　
24.8216486, 121.00894570000003,新竹縣私立愛林文理短期補習班,(03)5587168　
24.8368466, 121.00531260000002,希格瑪文教事業股份有限公司附設新竹縣私立希格瑪8號文理短期補習班,(03)5532772　
24.7666383, 121.05656620000002,新竹縣私立康寧二重文理才藝短期補習班,(03)5836608　
24.8103777, 121.03159949999997,新竹縣私立思學文理短期補習班,(03)6583816　
24.8103777, 121.03159949999997,新竹縣私立光與言文理短期補習班,0919505423　
24.8153552, 121.03168200000005,新竹縣私立樂學教育館文理短期補習班,(03)6670550　
24.8082703, 121.0274809,新竹縣私立晟陽文理短期補習班,(03)5506662　
24.8278985, 121.02922209999997,新竹縣私立康寧安興文理才藝短期補習班,(03)5506866　
24.8227729, 121.02801210000007,展汯實業有限公司附設新竹縣私立展汯外語文理短期補習班,(03)6585505、0917755697　
24.8024549, 121.036475,新竹縣私立婕弘文理短期補習班,(03)6676551　
24.8213896, 121.00913839999998,新竹縣私立陸比音樂短期補習班,03-6575269　
24.7498416, 121.09867459999998,新竹縣私立吉米英語文理短期補習班,0958360263　
24.815855, 121.0160591,新竹縣私立康寧興隆文理才藝短期補習班,(03)6670783　
24.8180045, 121.01176469999996,新竹縣私立種子英語文理短期補習班,(03)5588771　
24.815855, 121.0160591,新竹縣私立菲翌術文理技藝短期補習班,(03)6583768　
24.8060434, 121.03431890000002,新竹縣私立好地美語文理短期補習班,0939998169　
24.8356795, 121.01132129999996,新竹縣私立菁晟文理短期補習班,(03)6566658　
24.8250096, 121.02436720000003,新竹縣私立劉澔數學文理短期補習班,(03)6670401　
24.7677073, 121.0558221,新竹縣私立鄧哲文理短期補習班,(03)5833338　
24.8074888, 121.03479219999997,新竹縣私立創智積木園地技藝短期補習班,(03)6685590　
24.8255081, 121.00939399999993,新竹縣私立悠遊藝術文理技藝短期補習班,(03)5584226　
24.8211226, 121.01887290000002,逸果文化事業股份有限公司附設新竹縣私立逸果美語文理短期補習班,(03)6580703　
24.822159, 121.02776240000003,新竹縣私立提恩美語文理短期補習班,(03)6579204　
24.8145427, 121.03261780000003,新竹縣私立巨喬文理短期補習班,03-6681227　
24.8249502, 121.03262330000007,新竹縣私立小瓢蟲體能舞蹈短期補習班,0919-060812　
24.829936, 121.019552,新竹縣私立德晉文理短期補習班,
24.8278985, 121.02922209999997,諄品文教有限公司附設新竹縣私立諄品文理短期補習班,(03)5501368　
24.8283424, 121.00387599999999,新竹縣私立禾欣文理才藝短期補習班,(03)5528090　
24.872875, 120.9960347,新竹縣私立音樂樹才藝短期補習班,(03)5598885　
24.8140649, 121.03376950000006,新竹縣私立維育美語文理技藝短期補習班,(03)6589366　
24.8061189, 121.03408790000003,新竹縣私立育英文理短期補習班,(03)6673988　
24.8185059, 121.01611419999995,興隆文化事業股份有限公司附設新竹縣私立萊恩學習教育館文理才藝短期補習班,(03)6684566　
24.8389224, 120.99628010000004,新竹縣私立畢兒堡文理才藝短期補習班,(03)6568540　
24.8235208, 121.02798180000002,新竹縣私立立成短期補習班,(03)5686017　
24.7358212, 121.09420610000006,新竹縣私立程品文理短期補習班,(03)5961888　
24.8689444, 120.99183779999998,新竹縣私立佳宏文理短期補習班,0928223265　
24.8230204, 121.02499690000002,新竹縣私立嘉德琳才藝美語短期補習班,(03)6681182　
24.8087719, 121.0318919,新竹縣私立加利利音樂短期補習班,(03)6577753　
24.8166026, 121.02106200000003,新竹縣私立放藝術兒童美術短期補習班,(03)5507206　
24.8037791, 121.03285649999998,新竹縣私立勤益文理短期補習班,6577521　
24.7448072, 121.08592399999998,新竹縣私立哥德文理短期補習班,5940563　
24.8135256, 121.03195270000003,新竹縣私立紐曼文理短期補習班,(03)6576726　
24.8221276, 121.02812140000003,百世教育科技股份有限公司附設新竹縣私立百世文理短期補習班,(03)6579484　
24.8128836, 121.02489979999996,新竹縣私立悅讀文理短期補習班,(03)6576283　
24.8228662, 121.02636469999993,新竹縣私立艾莉娜短期補習班,(03)6589972　
24.9022259, 120.98751029999994,新竹縣私立紐約文理技藝短期補習班,(03)5576877　
24.8151718, 121.02417960000002,新竹縣私立麗軒音樂短期補習班,0910132043　
24.8088321, 121.02552909999997,新竹縣私立英語花園文理短期補習班,(03)5500890　
24.815855, 121.0160591,新竹縣私立知識家文理短期補習班,(03)6585658　
24.7421673, 121.08743500000003,新竹縣私立哥倫比亞文理短期補習班,(03) 595-6677　
24.901432, 121.04521499999998,新竹縣私立耶魯文理短期補習班,(03)5908058　
24.8051056, 121.0334451,新竹縣私立任得文理短期補習班,(03)5504949　
24.8404827, 121.00300730000004,財團法人人本教育文教基金會附設新竹縣私立數學想想國文理短期補習班,(03)5542320　
24.8236695, 121.00992739999992,新竹縣私立惟閣文理短期補習班,(03)5516595　
24.8999761, 121.04780000000005,新竹縣私立程宇文理短期補習班,(03)5902314　
24.8688819, 120.99217240000007,新竹縣私立神鵰俠侶文理短期補習班,(03)5577058　
24.9128719, 121.05198389999998,新竹縣私立典範文理短期補習班,(03)5907516　
24.8249885, 121.02435319999995,新竹縣私立采詩集閱讀寫作學苑文理短期補習班,(03)6675138　
24.8172783, 121.01584479999997,新竹縣私立莉蒂亞文理才藝短期補習班,0922492391　
24.8384583, 121.00608199999999,新竹縣私立丰采美術才藝短期補習班,(03)5553649　
